state,date,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,daily_deaths_av7,daily_deaths_actual
California,2020-12-25,309,143,636,NA,24190,23656,24966,NA,NA
California,2020-12-26,326,135,682,NA,24542,23850,25455,NA,NA
California,2020-12-27,332,148,701,NA,24874,24116,25987,NA,NA
California,2020-12-28,356,149,779,NA,25268,24392,26502,NA,NA
California,2020-12-29,371,150,764,NA,25652,24644,27056,NA,NA
California,2020-12-30,372,151,796,NA,26032,24932,27616,NA,NA
California,2020-12-31,386,160,888,NA,26458,25203,28349,NA,NA
California,2021-01-01,400,159,822,NA,26888,25480,28878,NA,NA
California,2021-01-02,415,175,953,NA,27345,25712,29659,NA,NA
California,2021-01-03,432,172,953,NA,27781,25989,30280,NA,NA
California,2021-01-04,431,178,959,NA,28244,26300,30962,NA,NA
California,2021-01-05,454,167,1039,NA,28706,26596,31756,NA,NA
California,2021-01-06,464,163,1031,NA,29191,26832,32634,NA,NA
California,2021-01-07,466,184,1077,NA,29696,27125,33409,NA,NA
California,2021-01-08,476,190,1143,NA,30203,27389,34122,NA,NA
California,2021-01-09,496,189,1148,NA,30747,27691,35124,NA,NA
California,2021-01-10,513,185,1159,NA,31276,27982,36060,NA,NA
California,2021-01-11,514,195,1207,NA,31874,28294,36753,NA,NA
California,2021-01-12,532,205,1286,NA,32392,28619,37945,NA,NA
California,2021-01-13,562,197,1286,NA,32972,28904,38742,NA,NA
California,2021-01-14,558,204,1402,NA,33582,29230,39819,NA,NA
California,2021-01-15,586,204,1355,NA,34208,29522,40706,NA,NA
California,2021-01-16,591,209,1428,NA,34810,29786,42044,NA,NA
California,2021-01-17,590,205,1512,NA,35378,30114,43211,NA,NA
California,2021-01-18,611,213,1530,NA,36072,30452,44361,NA,NA
Colorado,2020-12-21,64,11,230,NA,4444,4391,4610,NA,NA
Colorado,2020-12-22,63,9,217,NA,4521,4421,4761,NA,NA
Colorado,2020-12-23,65,9,227,NA,4590,4464,4914,NA,NA
Colorado,2020-12-24,72,11,224,NA,4673,4506,5055,NA,NA
Colorado,2020-12-25,68,12,243,NA,4750,4552,5169,NA,NA
Colorado,2020-12-26,71,9,227,NA,4832,4595,5299,NA,NA
Colorado,2020-12-27,64,13,229,NA,4912,4633,5412,NA,NA
Colorado,2020-12-28,65,12,251,NA,4990,4679,5584,NA,NA
Colorado,2020-12-29,66,10,249,NA,5060,4718,5741,NA,NA
Colorado,2020-12-30,66,12,240,NA,5158,4763,5848,NA,NA
Colorado,2020-12-31,67,10,239,NA,5224,4806,6012,NA,NA
Colorado,2021-01-01,67,11,250,NA,5298,4852,6153,NA,NA
Colorado,2021-01-02,65,9,255,NA,5371,4902,6317,NA,NA
Colorado,2021-01-03,67,10,240,NA,5441,4944,6512,NA,NA
Colorado,2021-01-04,67,9,268,NA,5513,4984,6666,NA,NA
Colorado,2021-01-05,65,9,245,NA,5586,5030,6786,NA,NA
Colorado,2021-01-06,63,9,245,NA,5660,5055,6952,NA,NA
Colorado,2021-01-07,67,9,262,NA,5750,5084,7087,NA,NA
Colorado,2021-01-08,64,10,241,NA,5818,5141,7255,NA,NA
Colorado,2021-01-09,66,10,254,NA,5892,5182,7454,NA,NA
Colorado,2021-01-10,64,9,258,NA,5974,5218,7597,NA,NA
Colorado,2021-01-11,63,9,280,NA,6040,5262,7811,NA,NA
Colorado,2021-01-12,62,7,248,NA,6107,5286,7970,NA,NA
Colorado,2021-01-13,62,9,269,NA,6194,5321,8193,NA,NA
Colorado,2021-01-14,63,9,245,NA,6264,5364,8360,NA,NA
Colorado,2021-01-15,62,8,252,NA,6334,5392,8501,NA,NA
Colorado,2021-01-16,61,8,279,NA,6400,5407,8729,NA,NA
Colorado,2021-01-17,60,7,246,NA,6460,5453,8894,NA,NA
Colorado,2021-01-18,61,8,259,NA,6541,5472,9083,NA,NA
Connecticut,2020-12-21,23,1,124,NA,5604,5582,5705,NA,NA
Connecticut,2020-12-22,22,1,118,NA,5631,5589,5784,NA,NA
Connecticut,2020-12-23,23,1,136,NA,5665,5601,5872,NA,NA
Connecticut,2020-12-24,24,1,125,NA,5699,5616,5948,NA,NA
Connecticut,2020-12-25,24,1,131,NA,5733,5628,6007,NA,NA
Connecticut,2020-12-26,23,1,136,NA,5768,5642,6075,NA,NA
Connecticut,2020-12-27,26,1,132,NA,5799,5659,6150,NA,NA
Connecticut,2020-12-28,25,1,136,NA,5831,5674,6225,NA,NA
Connecticut,2020-12-29,26,1,155,NA,5868,5687,6317,NA,NA
Connecticut,2020-12-30,26,1,145,NA,5900,5699,6403,NA,NA
Connecticut,2020-12-31,23,1,148,NA,5930,5718,6478,NA,NA
Connecticut,2021-01-01,25,1,161,NA,5961,5726,6592,NA,NA
Connecticut,2021-01-02,24,1,160,NA,5994,5739,6726,NA,NA
Connecticut,2021-01-03,27,1,148,NA,6032,5756,6820,NA,NA
Connecticut,2021-01-04,25,1,161,NA,6064,5771,6905,NA,NA
Connecticut,2021-01-05,24,1,159,NA,6101,5785,6983,NA,NA
Connecticut,2021-01-06,26,1,180,NA,6134,5801,7060,NA,NA
Connecticut,2021-01-07,24,1,177,NA,6164,5813,7198,NA,NA
Connecticut,2021-01-08,24,1,190,NA,6196,5833,7335,NA,NA
Connecticut,2021-01-09,25,1,182,NA,6229,5843,7451,NA,NA
Connecticut,2021-01-10,25,1,182,NA,6260,5851,7569,NA,NA
Connecticut,2021-01-11,25,1,165,NA,6298,5862,7693,NA,NA
Connecticut,2021-01-12,25,1,180,NA,6332,5871,7843,NA,NA
Connecticut,2021-01-13,26,1,205,NA,6362,5882,7897,NA,NA
Connecticut,2021-01-14,25,1,204,NA,6396,5900,8019,NA,NA
Connecticut,2021-01-15,26,1,190,NA,6428,5914,8148,NA,NA
Connecticut,2021-01-16,25,1,170,NA,6466,5921,8251,NA,NA
Connecticut,2021-01-17,24,1,197,NA,6498,5924,8449,NA,NA
Connecticut,2021-01-18,24,1,213,NA,6528,5938,8569,NA,NA
Delaware,2020-12-21,4,0,23,NA,867,863,886,NA,NA
Delaware,2020-12-22,4,0,25,NA,873,864,900,NA,NA
Delaware,2020-12-23,5,0,28,NA,879,866,918,NA,NA
Delaware,2020-12-24,5,0,28,NA,886,869,933,NA,NA
Delaware,2020-12-25,5,0,27,NA,893,871,947,NA,NA
Delaware,2020-12-26,5,0,27,NA,900,874,958,NA,NA
Delaware,2020-12-27,5,0,30,NA,907,876,981,NA,NA
Delaware,2020-12-28,5,0,31,NA,914,879,997,NA,NA
Delaware,2020-12-29,5,0,32,NA,920,881,1009,NA,NA
Delaware,2020-12-30,6,0,36,NA,928,884,1036,NA,NA
Delaware,2020-12-31,5,0,35,NA,936,887,1056,NA,NA
Delaware,2021-01-01,6,0,39,NA,945,891,1089,NA,NA
Delaware,2021-01-02,6,0,38,NA,953,893,1117,NA,NA
Delaware,2021-01-03,6,0,38,NA,960,895,1147,NA,NA
Delaware,2021-01-04,6,0,40,NA,968,898,1168,NA,NA
Delaware,2021-01-05,6,0,44,NA,976,899,1202,NA,NA
Delaware,2021-01-06,6,0,43,NA,985,901,1221,NA,NA
Delaware,2021-01-07,6,0,42,NA,994,905,1256,NA,NA
Delaware,2021-01-08,6,0,45,NA,1002,906,1278,NA,NA
Delaware,2021-01-09,6,0,51,NA,1011,908,1314,NA,NA
Delaware,2021-01-10,6,0,49,NA,1018,912,1359,NA,NA
Delaware,2021-01-11,6,0,55,NA,1026,913,1378,NA,NA
Delaware,2021-01-12,7,0,52,NA,1035,915,1420,NA,NA
Delaware,2021-01-13,7,0,54,NA,1045,918,1464,NA,NA
Delaware,2021-01-14,7,0,54,NA,1054,919,1495,NA,NA
Delaware,2021-01-15,7,0,55,NA,1064,920,1541,NA,NA
Delaware,2021-01-16,7,0,55,NA,1072,921,1579,NA,NA
Delaware,2021-01-17,7,0,67,NA,1080,923,1619,NA,NA
Delaware,2021-01-18,7,0,58,NA,1092,924,1651,NA,NA
District of Columbia,2020-12-21,3,0,10,NA,743,740,750,NA,NA
District of Columbia,2020-12-22,3,0,11,NA,747,741,758,NA,NA
District of Columbia,2020-12-23,3,0,11,NA,750,742,765,NA,NA
District of Columbia,2020-12-24,3,0,11,NA,754,744,772,NA,NA
District of Columbia,2020-12-25,3,0,12,NA,758,746,779,NA,NA
District of Columbia,2020-12-26,3,0,12,NA,762,747,788,NA,NA
District of Columbia,2020-12-27,3,0,13,NA,765,749,795,NA,NA
District of Columbia,2020-12-28,4,0,13,NA,769,750,804,NA,NA
District of Columbia,2020-12-29,4,0,13,NA,773,752,810,NA,NA
District of Columbia,2020-12-30,4,0,13,NA,777,754,819,NA,NA
District of Columbia,2020-12-31,4,0,15,NA,782,756,830,NA,NA
District of Columbia,2021-01-01,4,0,14,NA,787,758,839,NA,NA
District of Columbia,2021-01-02,4,0,15,NA,791,759,849,NA,NA
District of Columbia,2021-01-03,4,0,15,NA,794,760,861,NA,NA
District of Columbia,2021-01-04,4,0,16,NA,799,761,873,NA,NA
District of Columbia,2021-01-05,4,0,16,NA,803,762,883,NA,NA
District of Columbia,2021-01-06,4,0,16,NA,807,765,896,NA,NA
District of Columbia,2021-01-07,4,0,17,NA,812,767,909,NA,NA
District of Columbia,2021-01-08,4,0,18,NA,816,768,926,NA,NA
District of Columbia,2021-01-09,4,0,17,NA,822,770,936,NA,NA
District of Columbia,2021-01-10,4,0,18,NA,826,771,952,NA,NA
District of Columbia,2021-01-11,4,0,19,NA,830,773,970,NA,NA
District of Columbia,2021-01-12,5,0,20,NA,835,775,980,NA,NA
District of Columbia,2021-01-13,4,0,20,NA,839,777,996,NA,NA
District of Columbia,2021-01-14,4,0,20,NA,844,777,1012,NA,NA
District of Columbia,2021-01-15,4,0,20,NA,849,778,1029,NA,NA
