state,date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,population
Arizona,2020-04-02,11,NA,NA,NA,32,NA,NA,NA,7278717
Arizona,2020-04-03,9,NA,NA,NA,41,NA,NA,NA,7278717
Arizona,2020-04-04,12,NA,NA,NA,53,NA,NA,NA,7278717
Arizona,2020-04-05,11,NA,NA,NA,64,NA,NA,NA,7278717
Arizona,2020-04-06,3,NA,NA,NA,67,NA,NA,NA,7278717
Arizona,2020-04-07,10,NA,NA,NA,77,NA,NA,NA,7278717
Arizona,2020-04-08,2,NA,NA,NA,79,NA,NA,NA,7278717
Arizona,2020-04-09,10,NA,NA,NA,89,NA,NA,NA,7278717
Arizona,2020-04-10,8,NA,NA,NA,97,NA,NA,NA,7278717
Arizona,2020-04-11,15,NA,NA,NA,112,NA,NA,NA,7278717
Arizona,2020-04-12,5,NA,NA,NA,117,NA,NA,NA,7278717
Arizona,2020-04-13,5,NA,NA,NA,122,NA,NA,NA,7278717
Arizona,2020-04-14,NA,8,2,19,NA,128,122,139,7278717
Arizona,2020-04-15,NA,8,2,19,NA,136,126,153,7278717
Arizona,2020-04-16,NA,8,2,19,NA,145,131,167,7278717
Arizona,2020-04-17,NA,8,2,20,NA,153,136,181,7278717
Arizona,2020-04-18,NA,8,2,20,NA,161,141,196,7278717
Arizona,2020-04-19,NA,8,2,21,NA,170,145,211,7278717
Arizona,2020-04-20,NA,8,2,22,NA,178,150,227,7278717
Arizona,2020-04-21,NA,8,2,22,NA,186,154,245,7278717
Arizona,2020-04-22,NA,7,1,23,NA,194,158,261,7278717
Arizona,2020-04-23,NA,8,1,24,NA,203,162,279,7278717
Arizona,2020-04-24,NA,7,1,24,NA,211,166,299,7278717
Arizona,2020-04-25,NA,8,1,26,NA,220,169,320,7278717
Arizona,2020-04-26,NA,7,1,27,NA,228,173,343,7278717
Arizona,2020-04-27,NA,7,1,29,NA,236,176,366,7278717
Arizona,2020-04-28,NA,7,1,29,NA,244,178,389,7278717
Arizona,2020-04-29,NA,6,1,30,NA,252,181,415,7278717
Arizona,2020-04-30,NA,6,0,32,NA,259,184,441,7278717
Arizona,2020-05-01,NA,6,0,33,NA,266,186,469,7278717
Arizona,2020-05-02,NA,5,0,35,NA,272,187,497,7278717
Arizona,2020-05-03,NA,5,0,35,NA,278,189,530.0499999999993,7278717
Arizona,2020-05-04,NA,4,0,37,NA,283,190,562,7278717
Arkansas,2020-03-24,2,NA,NA,NA,2,NA,NA,NA,3017825
Arkansas,2020-03-25,0,NA,NA,NA,2,NA,NA,NA,3017825
Arkansas,2020-03-26,2,NA,NA,NA,4,NA,NA,NA,3017825
Arkansas,2020-03-27,0,NA,NA,NA,4,NA,NA,NA,3017825
Arkansas,2020-03-28,3,NA,NA,NA,7,NA,NA,NA,3017825
Arkansas,2020-03-29,2,NA,NA,NA,9,NA,NA,NA,3017825
Arkansas,2020-03-30,2,NA,NA,NA,11,NA,NA,NA,3017825
Arkansas,2020-03-31,1,NA,NA,NA,12,NA,NA,NA,3017825
Arkansas,2020-04-01,2,NA,NA,NA,14,NA,NA,NA,3017825
Arkansas,2020-04-03,0,NA,NA,NA,12,NA,NA,NA,3017825
Arkansas,2020-04-04,2,NA,NA,NA,14,NA,NA,NA,3017825
Arkansas,2020-04-05,2,NA,NA,NA,16,NA,NA,NA,3017825
Arkansas,2020-04-06,0,NA,NA,NA,16,NA,NA,NA,3017825
Arkansas,2020-04-07,2,NA,NA,NA,18,NA,NA,NA,3017825
Arkansas,2020-04-08,0,NA,NA,NA,18,NA,NA,NA,3017825
Arkansas,2020-04-09,3,NA,NA,NA,21,NA,NA,NA,3017825
Arkansas,2020-04-10,3,NA,NA,NA,24,NA,NA,NA,3017825
Arkansas,2020-04-11,1,NA,NA,NA,25,NA,NA,NA,3017825
Arkansas,2020-04-12,2,NA,NA,NA,27,NA,NA,NA,3017825
Arkansas,2020-04-13,3,NA,NA,NA,30,NA,NA,NA,3017825
Arkansas,2020-04-14,NA,2,0,5,NA,34,32,37,3017825
Arkansas,2020-04-15,NA,2,0,5,NA,35,32,41,3017825
Arkansas,2020-04-16,NA,2,0,5,NA,37,33,44,3017825
Arkansas,2020-04-17,NA,1,0,5,NA,39,34,48,3017825
Arkansas,2020-04-18,NA,2,0,6,NA,41,35,51,3017825
Arkansas,2020-04-19,NA,2,0,6,NA,43,36,55,3017825
Arkansas,2020-04-20,NA,2,0,6,NA,45,37,59,3017825
Arkansas,2020-04-21,NA,2,0,6,NA,47,38,63,3017825
Arkansas,2020-04-22,NA,2,0,7,NA,49,39,67,3017825
Arkansas,2020-04-23,NA,2,0,8,NA,52,40,73,3017825
Arkansas,2020-04-24,NA,2,0,9,NA,54,41,79,3017825
Arkansas,2020-04-25,NA,2,0,10,NA,57,42,86,3017825
Arkansas,2020-04-26,NA,2,0,12,NA,60,43,95,3017825
Arkansas,2020-04-27,NA,3,0,15,NA,63,44,108,3017825
Arkansas,2020-04-28,NA,3,0,18,NA,66,45,122,3017825
Arkansas,2020-04-29,NA,3,0,21,NA,70,46,141,3017825
Arkansas,2020-04-30,NA,3,0,26,NA,73,47,163,3017825
Arkansas,2020-05-01,NA,3,0,35,NA,77,48,193,3017825
Arkansas,2020-05-02,NA,3,0,44,NA,81,49,237,3017825
Arkansas,2020-05-03,NA,3,0,60,NA,85,49,293,3017825
Arkansas,2020-05-04,NA,4,0,80.04999999999927,NA,89,50,370,3017825
California,2020-03-17,3,NA,NA,NA,14,NA,NA,NA,39512223
California,2020-03-18,3,NA,NA,NA,17,NA,NA,NA,39512223
California,2020-03-19,2,NA,NA,NA,19,NA,NA,NA,39512223
California,2020-03-20,5,NA,NA,NA,24,NA,NA,NA,39512223
California,2020-03-21,4,NA,NA,NA,28,NA,NA,NA,39512223
California,2020-03-22,7,NA,NA,NA,35,NA,NA,NA,39512223
California,2020-03-23,4,NA,NA,NA,39,NA,NA,NA,39512223
California,2020-03-24,13,NA,NA,NA,52,NA,NA,NA,39512223
California,2020-03-25,16,NA,NA,NA,68,NA,NA,NA,39512223
California,2020-03-26,15,NA,NA,NA,83,NA,NA,NA,39512223
California,2020-03-27,21,NA,NA,NA,104,NA,NA,NA,39512223
California,2020-03-28,18,NA,NA,NA,122,NA,NA,NA,39512223
California,2020-03-29,10,NA,NA,NA,132,NA,NA,NA,39512223
California,2020-03-30,15,NA,NA,NA,147,NA,NA,NA,39512223
California,2020-03-31,37,NA,NA,NA,184,NA,NA,NA,39512223
California,2020-04-01,27,NA,NA,NA,211,NA,NA,NA,39512223
California,2020-04-02,35,NA,NA,NA,246,NA,NA,NA,39512223
California,2020-04-03,36,NA,NA,NA,282,NA,NA,NA,39512223
California,2020-04-04,41,NA,NA,NA,323,NA,NA,NA,39512223
California,2020-04-05,28,NA,NA,NA,351,NA,NA,NA,39512223
California,2020-04-06,35,NA,NA,NA,386,NA,NA,NA,39512223
California,2020-04-07,61,NA,NA,NA,447,NA,NA,NA,39512223
California,2020-04-08,59,NA,NA,NA,506,NA,NA,NA,39512223
California,2020-04-09,42,NA,NA,NA,548,NA,NA,NA,39512223
California,2020-04-10,46,NA,NA,NA,594,NA,NA,NA,39512223
California,2020-04-11,38,NA,NA,NA,632,NA,NA,NA,39512223
California,2020-04-12,44,NA,NA,NA,676,NA,NA,NA,39512223
California,2020-04-13,49,NA,NA,NA,725,NA,NA,NA,39512223
California,2020-04-14,NA,43,15,100,NA,757,729,814,39512223
California,2020-04-15,NA,43,14,104,NA,803,755,895,39512223
California,2020-04-16,NA,42,14,107,NA,848,781,979,39512223
California,2020-04-17,NA,41,13,113,NA,892,803,1067,39512223
California,2020-04-18,NA,40,11,123,NA,937,824,1167,39512223
California,2020-04-19,NA,40,10,136,NA,981,844,1281,39512223
California,2020-04-20,NA,41,10,154,NA,1027,860,1416,39512223
California,2020-04-21,NA,42,8,177,NA,1074,876,1573,39512223
California,2020-04-22,NA,41,7,202,NA,1119,889.95,1760.0499999999993,39512223
California,2020-04-23,NA,41,6,238,NA,1166,900,1983.0499999999993,39512223
California,2020-04-24,NA,41,5,289,NA,1211.5,909.95,2227.0999999999985,39512223
California,2020-04-25,NA,41,4,370.0499999999993,NA,1259,916,2572.0999999999985,39512223
California,2020-04-26,NA,41,3,464.0499999999993,NA,1305,924,3038.199999999997,39512223
California,2020-04-27,NA,39,2,549,NA,1355,929,3571.0999999999985,39512223
California,2020-04-28,NA,36,1,663.0499999999993,NA,1397,932,4225,39512223
California,2020-04-29,NA,35,1,834.0499999999993,NA,1437,936,5007.049999999999,39512223
California,2020-04-30,NA,32,1,1000.0499999999993,NA,1475,938.95,6033.299999999996,39512223
California,2020-05-01,NA,29,0,1216.0499999999993,NA,1510,941,7236.349999999995,39512223
California,2020-05-02,NA,27,0,1449.0999999999985,NA,1542.5,942,8731.299999999996,39512223
California,2020-05-03,NA,25,0,1849.0999999999985,NA,1574.5,943,10584.599999999991,39512223
California,2020-05-04,NA,23,0,2312.749999999989,NA,1608,944,12812.249999999996,39512223
Colorado,2020-03-13,1,NA,NA,NA,2,NA,NA,NA,5758736
Colorado,2020-03-14,0,NA,NA,NA,2,NA,NA,NA,5758736
Colorado,2020-03-15,0,NA,NA,NA,2,NA,NA,NA,5758736
Colorado,2020-03-16,0,NA,NA,NA,2,NA,NA,NA,5758736
Colorado,2020-03-17,1,NA,NA,NA,3,NA,NA,NA,5758736
Colorado,2020-03-18,0,NA,NA,NA,3,NA,NA,NA,5758736
Colorado,2020-03-19,2,NA,NA,NA,5,NA,NA,NA,5758736
Colorado,2020-03-20,0,NA,NA,NA,5,NA,NA,NA,5758736
Colorado,2020-03-21,1,NA,NA,NA,6,NA,NA,NA,5758736
Colorado,2020-03-22,1,NA,NA,NA,7,NA,NA,NA,5758736
Colorado,2020-03-23,3,NA,NA,NA,10,NA,NA,NA,5758736
Colorado,2020-03-24,2,NA,NA,NA,12,NA,NA,NA,5758736
Colorado,2020-03-25,7,NA,NA,NA,19,NA,NA,NA,5758736
Colorado,2020-03-26,5,NA,NA,NA,24,NA,NA,NA,5758736
Colorado,2020-03-27,6,NA,NA,NA,30,NA,NA,NA,5758736
Colorado,2020-03-28,13,NA,NA,NA,43,NA,NA,NA,5758736
Colorado,2020-03-29,3,NA,NA,NA,46,NA,NA,NA,5758736
Colorado,2020-03-30,4,NA,NA,NA,50,NA,NA,NA,5758736
Colorado,2020-03-31,18,NA,NA,NA,68,NA,NA,NA,5758736
Colorado,2020-04-01,11,NA,NA,NA,79,NA,NA,NA,5758736
Colorado,2020-04-02,17,NA,NA,NA,96,NA,NA,NA,5758736
Colorado,2020-04-03,14,NA,NA,NA,110,NA,NA,NA,5758736
Colorado,2020-04-04,16,NA,NA,NA,126,NA,NA,NA,5758736
Colorado,2020-04-05,14,NA,NA,NA,140,NA,NA,NA,5758736
Colorado,2020-04-06,10,NA,NA,NA,150,NA,NA,NA,5758736
Colorado,2020-04-07,29,NA,NA,NA,179,NA,NA,NA,5758736
Colorado,2020-04-08,13,NA,NA,NA,192,NA,NA,NA,5758736
Colorado,2020-04-09,35,NA,NA,NA,227,NA,NA,NA,5758736
Colorado,2020-04-10,26,NA,NA,NA,253,NA,NA,NA,5758736
Colorado,2020-04-11,21,NA,NA,NA,274,NA,NA,NA,5758736
Colorado,2020-04-12,16,NA,NA,NA,290,NA,NA,NA,5758736
Colorado,2020-04-13,18,NA,NA,NA,308,NA,NA,NA,5758736
Colorado,2020-04-14,NA,14,4,34,NA,321,311,341,5758736
Colorado,2020-04-15,NA,12,3,32.04999999999927,NA,334,318,365,5758736
Colorado,2020-04-16,NA,11,3,31.049999999999272,NA,346,324,389,5758736
Colorado,2020-04-17,NA,10,2,31,NA,358,330,414,5758736
Colorado,2020-04-18,NA,10,2,32,NA,368,335,439,5758736
Colorado,2020-04-19,NA,9,1,33,NA,379,339,466,5758736
Colorado,2020-04-20,NA,8,1,35,NA,388,342,495,5758736
Colorado,2020-04-21,NA,8,1,37,NA,397,345,528,5758736
Colorado,2020-04-22,NA,7,1,40,NA,405,347,562,5758736
Colorado,2020-04-23,NA,6,0,42,NA,412,349,599,5758736
Colorado,2020-04-24,NA,6,0,45,NA,419,350,638,5758736
Colorado,2020-04-25,NA,5,0,53,NA,425,351,687,5758736
Colorado,2020-04-26,NA,5,0,55,NA,431,352,737.0499999999993,5758736
Colorado,2020-04-27,NA,4,0,58,NA,436,353,798,5758736
Colorado,2020-04-28,NA,3,0,62,NA,441,353,863,5758736
Colorado,2020-04-29,NA,3,0,64.04999999999927,NA,444,354,922.0499999999993,5758736
Colorado,2020-04-30,NA,2,0,66,NA,448,354,991,5758736
Colorado,2020-05-01,NA,2,0,75,NA,450,354,1063,5758736
Colorado,2020-05-02,NA,2,0,73,NA,453,354,1144,5758736
Colorado,2020-05-03,NA,1,0,81,NA,454,355,1220.0999999999985,5758736
Colorado,2020-05-04,NA,1,0,85,NA,456,355,1306.0999999999985,5758736
Connecticut,2020-03-19,3,NA,NA,NA,4,NA,NA,NA,3565287
Connecticut,2020-03-20,0,NA,NA,NA,4,NA,NA,NA,3565287
Connecticut,2020-03-21,1,NA,NA,NA,5,NA,NA,NA,3565287
Connecticut,2020-03-22,3,NA,NA,NA,8,NA,NA,NA,3565287
Connecticut,2020-03-23,2,NA,NA,NA,10,NA,NA,NA,3565287
Connecticut,2020-03-24,2,NA,NA,NA,12,NA,NA,NA,3565287
Connecticut,2020-03-25,7,NA,NA,NA,19,NA,NA,NA,3565287
Connecticut,2020-03-26,2,NA,NA,NA,21,NA,NA,NA,3565287
Connecticut,2020-03-27,6,NA,NA,NA,27,NA,NA,NA,3565287
Connecticut,2020-03-28,6,NA,NA,NA,33,NA,NA,NA,3565287
Connecticut,2020-03-29,1,NA,NA,NA,34,NA,NA,NA,3565287
Connecticut,2020-03-30,2,NA,NA,NA,36,NA,NA,NA,3565287
Connecticut,2020-03-31,33,NA,NA,NA,69,NA,NA,NA,3565287
Connecticut,2020-04-01,16,NA,NA,NA,85,NA,NA,NA,3565287
Connecticut,2020-04-02,27,NA,NA,NA,112,NA,NA,NA,3565287
Connecticut,2020-04-03,20,NA,NA,NA,132,NA,NA,NA,3565287
Connecticut,2020-04-04,33,NA,NA,NA,165,NA,NA,NA,3565287
Connecticut,2020-04-05,24,NA,NA,NA,189,NA,NA,NA,3565287
Connecticut,2020-04-06,17,NA,NA,NA,206,NA,NA,NA,3565287
Connecticut,2020-04-07,71,NA,NA,NA,277,NA,NA,NA,3565287
Connecticut,2020-04-08,59,NA,NA,NA,336,NA,NA,NA,3565287
Connecticut,2020-04-09,44,NA,NA,NA,380,NA,NA,NA,3565287
Connecticut,2020-04-10,68,NA,NA,NA,448,NA,NA,NA,3565287
Connecticut,2020-04-11,46,NA,NA,NA,494,NA,NA,NA,3565287
Connecticut,2020-04-12,60,NA,NA,NA,554,NA,NA,NA,3565287
Connecticut,2020-04-13,48,NA,NA,NA,602,NA,NA,NA,3565287
Connecticut,2020-04-14,NA,42,15,93,NA,643,616,694,3565287
Connecticut,2020-04-15,NA,39,14,93,NA,685,641,764,3565287
Connecticut,2020-04-16,NA,38,13,92,NA,726,667,833,3565287
Connecticut,2020-04-17,NA,36,12,92,NA,764,690,901,3565287
Connecticut,2020-04-18,NA,33,10,94,NA,800,710,975,3565287
Connecticut,2020-04-19,NA,31,9,94,NA,834,728,1048,3565287
Connecticut,2020-04-20,NA,29,7,99,NA,865,744,1131,3565287
Connecticut,2020-04-21,NA,26,6,101,NA,894,756,1216,3565287
Connecticut,2020-04-22,NA,24,5,109,NA,921,767,1309,3565287
Connecticut,2020-04-23,NA,21,4,113,NA,944.5,775,1408,3565287
Connecticut,2020-04-24,NA,19,3,122.04999999999927,NA,967,781,1527.0499999999993,3565287
Connecticut,2020-04-25,NA,16,2,132,NA,985.5,787,1645.1499999999978,3565287
Connecticut,2020-04-26,NA,14,1,156,NA,1003,791,1782.0499999999993,3565287
Connecticut,2020-04-27,NA,12,1,161,NA,1018,794,1946,3565287
Connecticut,2020-04-28,NA,10,0,175,NA,1029,796,2111,3565287
Connecticut,2020-04-29,NA,8,0,195.04999999999927,NA,1040,798,2297,3565287
Connecticut,2020-04-30,NA,7,0,212,NA,1048,799.95,2512.149999999998,3565287
Connecticut,2020-05-01,NA,5,0,229.04999999999927,NA,1055,800.95,2741.0999999999985,3565287
Connecticut,2020-05-02,NA,4,0,246,NA,1062,801,2966,3565287
Connecticut,2020-05-03,NA,3,0,243.04999999999927,NA,1067,801,3222.0999999999985,3565287
Connecticut,2020-05-04,NA,3,0,286.09999999999854,NA,1070.5,802,3516.199999999997,3565287
Delaware,2020-03-26,1,NA,NA,NA,1,NA,NA,NA,973764
Delaware,2020-03-27,1,NA,NA,NA,2,NA,NA,NA,973764
Delaware,2020-03-28,3,NA,NA,NA,5,NA,NA,NA,973764
Delaware,2020-03-29,1,NA,NA,NA,6,NA,NA,NA,973764
Delaware,2020-03-30,1,NA,NA,NA,7,NA,NA,NA,973764
Delaware,2020-03-31,3,NA,NA,NA,10,NA,NA,NA,973764
Delaware,2020-04-01,1,NA,NA,NA,11,NA,NA,NA,973764
Delaware,2020-04-02,1,NA,NA,NA,12,NA,NA,NA,973764
Delaware,2020-04-03,2,NA,NA,NA,14,NA,NA,NA,973764
Delaware,2020-04-04,0,NA,NA,NA,14,NA,NA,NA,973764
Delaware,2020-04-05,0,NA,NA,NA,14,NA,NA,NA,973764
Delaware,2020-04-06,1,NA,NA,NA,15,NA,NA,NA,973764
Delaware,2020-04-07,1,NA,NA,NA,16,NA,NA,NA,973764
Delaware,2020-04-08,3,NA,NA,NA,19,NA,NA,NA,973764
Delaware,2020-04-09,4,NA,NA,NA,23,NA,NA,NA,973764
Delaware,2020-04-10,9,NA,NA,NA,32,NA,NA,NA,973764
Delaware,2020-04-11,1,NA,NA,NA,33,NA,NA,NA,973764
Delaware,2020-04-12,2,NA,NA,NA,35,NA,NA,NA,973764
Delaware,2020-04-13,6,NA,NA,NA,41,NA,NA,NA,973764
Delaware,2020-04-14,NA,3,0,9,NA,44,41,50,973764
Delaware,2020-04-15,NA,3,0,10,NA,48,43,57,973764
Delaware,2020-04-16,NA,3,0,10,NA,52,45,64,973764
Delaware,2020-04-17,NA,4,0,10,NA,56,47,71,973764
Delaware,2020-04-18,NA,4,0,11,NA,60,49,78,973764
Delaware,2020-04-19,NA,4,0,11,NA,64,51,86.04999999999927,973764
Delaware,2020-04-20,NA,4,0,12,NA,68,53,95,973764
Delaware,2020-04-21,NA,4,0,13,NA,73,55,104,973764
Delaware,2020-04-22,NA,4,0,13,NA,77,57,114,973764
Delaware,2020-04-23,NA,4,0,14,NA,82,59,124,973764
Delaware,2020-04-24,NA,4,0,15,NA,87,61,135,973764
Delaware,2020-04-25,NA,4,0,15,NA,91,63,147,973764
Delaware,2020-04-26,NA,4,0,16,NA,95,64,160,973764
Delaware,2020-04-27,NA,4,0,18,NA,100,66,174,973764
Delaware,2020-04-28,NA,3,0,18,NA,104,67,188.04999999999927,973764
Delaware,2020-04-29,NA,3,0,19,NA,107,68,205,973764
Delaware,2020-04-30,NA,3,0,20,NA,111,69,222,973764
Delaware,2020-05-01,NA,3,0,21,NA,114,69,239.04999999999927,973764
Delaware,2020-05-02,NA,2,0,22,NA,117,70,259,973764
Delaware,2020-05-03,NA,2,0,22,NA,120,71,278.0499999999993,973764
Delaware,2020-05-04,NA,2,0,24,NA,122,71,300.0499999999993,973764
District of Columbia,2020-03-20,1,NA,NA,NA,1,NA,NA,NA,705749
District of Columbia,2020-03-21,0,NA,NA,NA,1,NA,NA,NA,705749
District of Columbia,2020-03-22,1,NA,NA,NA,2,NA,NA,NA,705749
District of Columbia,2020-03-23,0,NA,NA,NA,2,NA,NA,NA,705749
District of Columbia,2020-03-24,0,NA,NA,NA,2,NA,NA,NA,705749
District of Columbia,2020-03-25,1,NA,NA,NA,3,NA,NA,NA,705749
District of Columbia,2020-03-26,0,NA,NA,NA,3,NA,NA,NA,705749
District of Columbia,2020-03-27,1,NA,NA,NA,4,NA,NA,NA,705749
District of Columbia,2020-03-28,0,NA,NA,NA,4,NA,NA,NA,705749
District of Columbia,2020-03-29,0,NA,NA,NA,4,NA,NA,NA,705749
District of Columbia,2020-03-30,5,NA,NA,NA,9,NA,NA,NA,705749
District of Columbia,2020-03-31,0,NA,NA,NA,9,NA,NA,NA,705749
District of Columbia,2020-04-01,2,NA,NA,NA,11,NA,NA,NA,705749
District of Columbia,2020-04-02,1,NA,NA,NA,12,NA,NA,NA,705749
District of Columbia,2020-04-03,3,NA,NA,NA,15,NA,NA,NA,705749
District of Columbia,2020-04-04,6,NA,NA,NA,21,NA,NA,NA,705749
District of Columbia,2020-04-05,1,NA,NA,NA,22,NA,NA,NA,705749
District of Columbia,2020-04-06,2,NA,NA,NA,24,NA,NA,NA,705749
District of Columbia,2020-04-08,5,NA,NA,NA,27,NA,NA,NA,705749
District of Columbia,2020-04-09,5,NA,NA,NA,32,NA,NA,NA,705749
District of Columbia,2020-04-10,6,NA,NA,NA,38,NA,NA,NA,705749
District of Columbia,2020-04-11,9,NA,NA,NA,47,NA,NA,NA,705749
