date,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper
2020-06-15,NA,596.9642857142858,472.9160714285714,755.5892857142856,NA,115999.17857142858,115016.825,116884.84107142859
2020-06-16,NA,573.5714285714286,450.9035714285714,734.1553571428572,NA,116580.96428571429,115515.26785714286,117547.37857142856
2020-06-17,NA,552.9642857142858,432.975,694.0714285714286,NA,117128.57142857142,115986.56428571428,118167.7982142857
2020-06-18,NA,533.2142857142858,420.61785714285713,673.2410714285713,NA,117673.35714285714,116467.075,118766.12142857142
2020-06-19,NA,512.3214285714286,403.9982142857143,646.8714285714285,NA,118194.46428571429,116899.26250000001,119340.71785714285
2020-06-20,NA,493.2142857142857,386.0589285714285,628.9017857142856,NA,118685.46428571429,117342.63035714286,119891.67678571428
2020-06-21,NA,477.57142857142856,377.98571428571427,607.5017857142857,NA,119165.03571428571,117754.45714285714,120417.44821428572
2020-06-22,NA,461.8571428571429,362.8571428571429,586.0267857142857,NA,119630.5,118161.49107142858,120955.01785714287
2020-06-23,NA,446.8571428571429,352.7714285714286,571.6553571428572,NA,120078.96428571429,118545.06785714286,121469.59285714285
2020-06-24,NA,433.42857142857144,342.34285714285716,553.6732142857142,NA,120516.28571428571,118908.08392857143,121940.38392857143
2020-06-25,NA,421.8928571428571,330.70178571428573,535.6464285714285,NA,120943.89285714286,119291.11964285714,122435.50357142856
2020-06-26,NA,409.7142857142857,323.7732142857143,529.4303571428571,NA,121355.96428571429,119676.36607142858,122914.19464285714
